,89,90
u351,0.0,0.0
u352,0.0,0.0
u353,0.0,0.0
u354,0.0,0.0
u355,0.0,0.0
u356,0.0,0.0
u357,0.0,0.0
u358,0.0,0.0
u359,0.0,0.0
u36,0.0,0.0
u360,0.0,0.0
u361,0.0,0.0
u362,0.0,0.0
u363,0.0,0.0
u364,0.0,0.0
u365,0.0,0.0
u366,0.0,0.0
u367,0.0,0.0
u368,0.0,0.0
u369,0.0,0.0
u37,0.0,0.0
u370,0.0,0.0
u371,0.0,0.0
u372,0.0,0.0
u373,0.0,0.0
u374,0.0,0.0
u375,0.0,0.0
u376,0.0,0.0
u377,0.0,0.0
u378,0.0,0.0
u379,-0.0,0.0
u38,-0.0,-0.0
u380,0.0,0.0
u381,0.0,0.0
u382,0.0,0.0
u383,0.0,0.0
u384,0.0,0.0
u385,0.0,0.0
u386,0.0,0.0
u387,0.0,0.0
u388,0.0,0.0
u389,0.0,0.0
u39,0.0,0.0
u390,0.0,0.0
u391,0.0,0.0
u392,0.0,0.0
u393,0.0,0.0
u394,0.0,0.0
u395,0.0,0.0
u396,0.0,0.0
u397,0.0,0.0
u398,0.0,0.0
u399,0.0,0.0
u4,0.0,0.0
u40,0.0,0.0
u400,0.0,0.0
u401,0.0,0.0
u402,0.0,0.0
u403,0.0,0.0
u404,0.0,0.0
u405,0.0,0.0
u406,0.0,0.0
u407,0.0,0.0
u408,0.0,0.0
u409,0.0,0.0
u41,0.0,-0.0
u410,0.0,0.0
u411,0.0,0.0
u412,0.0,0.0
u413,0.0,0.0
u414,0.0,0.0
u415,0.0,0.0
u416,0.0,0.0
u417,0.0,0.0
u418,0.0,0.0
u419,0.0,0.0
u42,0.0,0.0
u420,0.0,0.0
u421,0.0,0.0
u422,0.0,0.0
u423,0.0,0.0
u424,0.0,0.0
u425,0.0,0.0
u426,0.0,0.0
u427,0.0,0.0
u428,0.0,0.0
u429,0.0,0.0
u43,0.0,0.0
u430,0.0,0.0
u431,0.0,0.0
u432,0.0,0.0
u433,0.0,0.0
u434,0.0,0.0
u435,0.0,0.0
u436,0.0,0.0
u437,0.0,0.0
u438,0.0,0.0
u439,0.0,0.0
u44,0.0,0.0
u440,0.0,0.0
u441,0.0,0.0
u442,0.0,0.0
u443,0.0,0.0
u444,0.0,0.0
